lemma	derivation	category	cluster_id	LaBSE	MPnet	Para-Mini	Qwen	VyA
Darma	Da/rma	praatipadika	18	firm			nature	associating with the virtuous; devotion; religion; religious abstraction; religious merit; sacrifice; virtue
Darma	Da/rma	praatipadika	19	f° of Dhṛta; f° of Netra			ordinance	right
Darma	Da/rma	praatipadika	20	good works			peculiar condition; peculiarity	the ninth mansion
Darma	Da/rma	praatipadika	21	of Uśanas			prescribed conduct	
Darma	Da/rma	praatipadika	22	practice; usage			property	
Darma	Da/rma	praatipadika	23	steadfast decree			that which is established	
Darma	Da/rma	praatipadika	24	that which is established			the ninth mansion	
Darma	Da/rma	praatipadika	25	the ninth mansion				
agra	a/gra	praatipadika	0	a measure of food given as alms	a measure of food given as alms; a weight; equal to a pala	a measure of food given as alms	a measure of food given as alms	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest	remainder; rest	remainder; rest	remainder; rest	remainder
agra	a/gra	praatipadika	1	a weight	aim	a weight; aim; and hence; anterior; best; best part; chief; equal to a pala; figuratively; first; foremost; foremost point; front; goal; multitude; part; point; projecting; prominent; sharpness; summit; surface; the beginning; the climax; the nearest end; tip; top; uppermost part	a weight; equal to a pala	a weight
agra	agra	praatipadika	1					rest
agra	a/gra	praatipadika	2	aim; goal; point	and hence; goal; point; the nearest end	supernumerary	aim; best; best part; chief; foremost; foremost point; goal; prominent; summit; the beginning; the climax; tip; uppermost part	aim; goal; projecting; the beginning; the nearest end
agra	a/gra	praatipadika	3	and hence	anterior; the beginning	the sun's amplitude	and hence	and hence; anterior; best; best part; figuratively; first; foremost; foremost point; front; summit; surface; the climax; uppermost part
agra	a/gra	praatipadika	4	anterior; chief; front; prominent; surface; the beginning; tip	best; best part; chief; first; front; part; summit; the climax; tip; top; uppermost part		figuratively	chief; part; point; prominent; sharpness; tip; top
agra	a/gra	praatipadika	5	best; best part; first; foremost; foremost point; uppermost part	figuratively		multitude	equal to a pala
agra	a/gra	praatipadika	6	equal to a pala	multitude; supernumerary		anterior; first; front; part; point; projecting; surface; top	multitude
agra	a/gra	praatipadika	7	figuratively	foremost; projecting; prominent		sharpness	supernumerary
agra	a/gra	praatipadika	8	multitude	foremost point; sharpness; surface		supernumerary	the sun's amplitude
agra	a/gra	praatipadika	9	part	the sun's amplitude		the nearest end	
agra	a/gra	praatipadika	10	projecting			the sun's amplitude	
agra	a/gra	praatipadika	11	sharpness				
agra	a/gra	praatipadika	12	supernumerary				
agra	a/gra	praatipadika	13	summit; the climax; top				
agra	a/gra	praatipadika	14	the nearest end				
agra	a/gra	praatipadika	15	the sun's amplitude				
arTa	a/rTa	praatipadika	0	Buddhi	Buddhi; personified as the son of Dharma	Buddhi; personified as the son of Dharma	Buddhi	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion	Name of the second mansion; the mansion of wealth	Name of the second mansion	Name of the second mansion	Name of the second mansion
arTa	a/rTa	praatipadika	2	action; affair; cause; concern; lawsuit; thing	action; affair; take up one's work	action; affair; aim; cause; concern; having to do with; kind; manner; needing anything; object; object of the senses; opulence; prevention; prohibition; reason; substance; take up one's work; to go to one's business; utility	action; advantage; object	action; property
arTa	a/rTa	praatipadika	3	advantage; use	advantage; aim; manner; object of the senses; prevention; use; utility	lawsuit	affair	advantage
arTa	a/rTa	praatipadika	4	having to do with	concern; having to do with; kind; meaning; needing anything	advantage; meaning; money; motive; notion; price; property; purpose; sense; the mansion of wealth; thing; use; wanting; wealth	cause; concern; having to do with; kind; motive; object of the senses; purpose; reason; thing; use; utility	concern
arTa	a/rTa	praatipadika	5	kind; manner	cause; lawsuit; money; motive; opulence; price; prohibition; reason; wanting; wealth	the number five	lawsuit	affair; aim; cause; having to do with; kind; manner; meaning; motive; notion; object; object of the senses; reason; substance; thing; use; utility
arTa	a/rTa	praatipadika	6	aim; meaning; motive; notion; object; object of the senses; purpose; reason; sense; substance; utility	notion; object; property; purpose; sense; substance; the number five; thing		manner	lawsuit
arTa	a/rTa	praatipadika	7	money; property; the mansion of wealth; wealth	to go to one's business		money; opulence; the mansion of wealth; wealth	money; opulence; price; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	8	needing anything			aim; meaning; needing anything; sense; wanting	needing anything; purpose; sense; wanting
arTa	a/rTa	praatipadika	9	opulence			notion	personified as the son of Dharma
arTa	a/rTa	praatipadika	10	personified as the son of Dharma			personified as the son of Dharma	prevention; prohibition
arTa	a/rTa	praatipadika	11	prevention; prohibition			prevention	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	12	price			price	the number five
arTa	a/rTa	praatipadika	13	take up one's work; to go to one's business			prohibition	
arTa	a/rTa	praatipadika	14	the number five			property	
arTa	a/rTa	praatipadika	15	wanting			substance	
arTa	a/rTa	praatipadika	16				take up one's work; to go to one's business	
arTa	a/rTa	praatipadika	17				the number five	
banD	banD	dhaatu	0	arrange; assume; capture; fix; hold captive; set up; span; take; take up; to fix	arrange; bend; effect; knit	arrange; assume; capture; compose; direct; exhibit; offer; set up; shut; strike; that is experience; to entertain	arrange	arrange; assume; cherish; compose; conceive; constructed; contract; fix; hold back; offer; put together; set up; shut; stop; suffer; suppress; take up; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to fix; to join; unite
banD	banD	dhaatu	1	bear	assume	bear	bear; bridge over	bear
banD	banD	dhaatu	2	betray to be bound by the fetters of existence	bear; fix	betray to be bound by the fetters of existence; construct; show; sin again	betray to be bound by the fetters of existence	betray to be bound by the fetters of existence
banD	banD	dhaatu	3	bridge over	betray to be bound by the fetters of existence; cherish; evil; sin again; strike	bridge over; chain; cherish	capture; effect; exhibit; imprison; make; put on; to entertain	bridge over; close; construct; dammed up; direct; fetter; knit; put on; to form
banD	banD	dhaatu	4	chain; compose; conceive; put on; rivet on	bridge over	conceive	chain; fasten; fetter; rivet on; to bind round	exhibit; show; to entertain
banD	banD	dhaatu	5	cherish; to entertain	cause; compose; conceive; exhibit; to catch; to cause to be built; to cause to be embanked; to cause to bind; to entertain; to form	knit	cherish	produce anything in this way; produce in any way
banD	banD	dhaatu	6	contract	dammed up	produce anything in this way; produce in any way	bend; catch; cause; compose; conceive; construct; direct; fix; fold; put together; set up; show; span; take up; to fix; to form; to join; unite	capture; catch; chain; clench; hold captive; imprison; restrain; sacrifice; to arrest; to bind a sacrificial victim; to catch
banD	banD	dhaatu	7	catch; close; dammed up; fetter; hold back; imprison; restrain; shut; stop; strike; suppress; to arrest	direct	contract; tie; to attach to world; to form; to join; unite	contract	bend; cause; chastise; do; effect; evil; fasten; fold; make; rivet on; sin again; span; take; tie; to bind; to punish; to sin
banD	banD	dhaatu	8	direct	construct; constructed; do; make; produce anything in this way; produce in any way; suffer; to sin; unite	to be affected by id est	assume; clench; close; dammed up; hold back; hold captive; restrain; shut; stop; take; tie; to arrest; to catch	strike
banD	banD	dhaatu	9	do; effect; make	fetter	bend; catch; cause; chastise; clench; close; constructed; dammed up; do; effect; evil; fasten; fetter; fix; fold; hold back; hold captive; imprison; make; put on; put together; restrain; rivet on; sacrifice; span; stop; suffer; suppress; take; take up; to arrest; to bind; to bind a sacrificial victim; to bind round; to bind together; to catch; to cause to be built; to cause to be embanked; to cause to bind; to fix; to punish; to sin	knit	that is experience
banD	banD	dhaatu	10	chastise; evil; sin again; suffer; to punish; to sin	catch; chain; chastise; clench; close; contract; fasten; fold; hold back; hold captive; imprison; put together; restrain; rivet on; sacrifice; set up; show; stop; suppress; tie; to arrest; to attach to world; to bind; to bind a sacrificial victim; to bind round; to bind together; to fix; to join; to punish		offer	to attach to world
banD	banD	dhaatu	11	exhibit; offer; sacrifice; show	capture; offer; put on; shut; take; take up		produce anything in this way; produce in any way	to be affected by id est
banD	banD	dhaatu	12	produce anything in this way; produce in any way	span		chastise; do; evil; sacrifice; sin again; strike; suffer; suppress; to bind; to bind a sacrificial victim; to bind together; to punish; to sin	
banD	banD	dhaatu	13	that is experience	that is experience		that is experience	
banD	banD	dhaatu	14	bend; clench; fasten; fold; knit; put together; to attach to world; to catch; to join; unite	to be affected by id est		to attach to world	
banD	banD	dhaatu	15	to be affected by id est			to be affected by id est	
banD	banD	dhaatu	16	to bind a sacrificial victim			constructed; to cause to be built; to cause to be embanked; to cause to bind	
banD	banD	dhaatu	17	cause; construct; constructed; tie; to bind; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to form				
brahman	bra/hman	praatipadika	0	Mantra used as a spell	Mantra used as a spell; a text; the Absolute; the sacred syllable Om; utterance	Mantra used as a spell; a text; the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda	Mantra used as a spell	Mantra used as a spell; a sacred text; a text; communicators of sacred knowledge
brahman	brahma/n	praatipadika	0	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven	Brahmā; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; a Brāhman who is a knower of Vedic texts; a devout; a lifetime of Brahmā; a particular Kalpa; a particular astronomy Yoga; an inhabitant of Brahmā's heaven; as the first of the triad of personal gods; one of the 4 principal priests; one who prays; religious man	Brahmā; Name of Bṛhas-pati; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; a Brāhman who is a knower of Vedic texts; a lifetime of Brahmā; a particular Kalpa; one of the 4 principal priests; one who prays; spells; the Veda; δ Aurigae	Brahmā; Name of Śiva; a lifetime of Brahmā; a particular Kalpa; the Veda; Ṛtvijas	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven; spells; δ Aurigae; Ṛtvijas
brahman	bra/hman	praatipadika	1	a sacred text; a text; holy life; the sacred syllable Om; the sacred word	final emancipation	communicators of sacred knowledge; final emancipation; pious effusion; the Veda	a sacred text; communicators of sacred knowledge	final emancipation
brahman	brahma/n	praatipadika	1	Name of Bṛhas-pati	Name of a magician; spells	Name of a magician; an inhabitant of Brahmā's heaven; as the first of the triad of personal gods; one versed in sacred knowledge; religious man; the intellect; the one impersonal universal Spirit manifested as a personal Creator	Name of a magician	Name of Bṛhas-pati; Name of a magician; Name of a star; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; the Veda
brahman	bra/hman	praatipadika	2	communicators of sacred knowledge	food; prayer; religious; wealth	food	a text	food
brahman	brahma/n	praatipadika	2	Name of a magician; Name of a star	Name of Bṛhas-pati; Name of a star; Name of Śiva; one versed in sacred knowledge; the Veda; the intellect; the one impersonal universal Spirit manifested as a personal Creator; the sun	Name of a star; a devout; a particular astronomy Yoga; the sun; Ṛtvijas	Name of the 9th Muhūrta	a Brāhman who is a knower of Vedic texts
brahman	bra/hman	praatipadika	3	final emancipation	holy life	a sacred text; holy life; one self-existent impersonal Spirit; outpouring of the heart in worshipping the gods; prayer; religious; spiritual knowledge; the Absolute; the Eternal; the Self-existent; the one universal Soul; the sacred syllable Om; the sacred word; utterance	final emancipation	one self-existent impersonal Spirit
brahman	brahma/n	praatipadika	3	Name of the 9th Muhūrta	δ Aurigae		Name of the servant of the 10th Arhat of the present Avasarpiṇī	a particular Kalpa
brahman	bra/hman	praatipadika	4	food	a sacred text; communicators of sacred knowledge; one self-existent impersonal Spirit; outpouring of the heart in worshipping the gods; pious effusion; spiritual knowledge; the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Eternal; the Self-existent; the Veda; the class of men who are the repositories; the one universal Soul; the sacred word	the class of men who are the repositories	food	outpouring of the heart in worshipping the gods
brahman	brahma/n	praatipadika	4	Name of the servant of the 10th Arhat of the present Avasarpiṇī	Ṛtvijas		a Brāhman who is a knower of Vedic texts; an inhabitant of Brahmā's heaven; one of the 4 principal priests	a particular astronomy Yoga
brahman	bra/hman	praatipadika	5	one self-existent impersonal Spirit; the one universal Soul		wealth	one self-existent impersonal Spirit; the Eternal	holy life; pious effusion; prayer; religious; spiritual knowledge; the Absolute; the Self-existent; the one universal Soul; the sacred syllable Om; the sacred word; utterance
brahman	brahma/n	praatipadika	5	Name of Śiva			a devout; one versed in sacred knowledge; one who prays; religious man	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	6	outpouring of the heart in worshipping the gods			outpouring of the heart in worshipping the gods; pious effusion	the Brahmă; the Brāhmaṇa portion of the Veda; the Eternal; the Veda
brahman	brahma/n	praatipadika	6	a Brāhman who is a knower of Vedic texts			a particular astronomy Yoga	one of the 4 principal priests
brahman	bra/hman	praatipadika	7	pious effusion			prayer	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	7	a devout; one who prays; religious man			as the first of the triad of personal gods	a devout; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	8	prayer			holy life; religious	the class of men who are the repositories
brahman	brahma/n	praatipadika	8	a particular Kalpa			spells	the intellect
brahman	bra/hman	praatipadika	9	religious			spiritual knowledge	wealth
brahman	brahma/n	praatipadika	9	a particular astronomy Yoga			the intellect	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	10	spiritual knowledge			the Brāhmanical caste as a body	
brahman	brahma/n	praatipadika	10	as the first of the triad of personal gods			the one impersonal universal Spirit manifested as a personal Creator	the sun
brahman	bra/hman	praatipadika	11	the Absolute; the Eternal			the Absolute; the Brahmă; the Brāhmaṇa portion of the Veda; the Self-existent; the Veda; the one universal Soul; the sacred syllable Om; the sacred word	
brahman	brahma/n	praatipadika	11	one of the 4 principal priests			the sun	
brahman	bra/hman	praatipadika	12	the Brahmă			the class of men who are the repositories	
brahman	brahma/n	praatipadika	12	one versed in sacred knowledge			Name of Bṛhas-pati; Name of a star; δ Aurigae	
brahman	bra/hman	praatipadika	13	the Brāhmanical caste as a body			utterance	
brahman	brahma/n	praatipadika	13	spells				
brahman	bra/hman	praatipadika	14	the Brāhmaṇa portion of the Veda			wealth	
brahman	brahma/n	praatipadika	14	the Veda				
brahman	bra/hman	praatipadika	15	the Self-existent				
brahman	brahma/n	praatipadika	15	the intellect				
brahman	bra/hman	praatipadika	16	the Veda				
brahman	brahma/n	praatipadika	16	the one impersonal universal Spirit manifested as a personal Creator				
brahman	bra/hman	praatipadika	17	the class of men who are the repositories				
brahman	brahma/n	praatipadika	17	the sun				
brahman	bra/hman	praatipadika	18	utterance				
brahman	brahma/n	praatipadika	18	δ Aurigae				
brahman	bra/hman	praatipadika	19	wealth				
brahman	brahma/n	praatipadika	19	Ṛtvijas				
citra	citra	praatipadika	0	fro	fro	fro	fro	fro
citra	citra/	praatipadika	0	Jonesia Aśoka	Jonesia Aśoka; Plumbago zeylanica	Jonesia Aśoka	Jonesia Aśoka	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to	leaping to	leaping to	leaping to	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a king; Name of a son of Dhṛtarāṣṭra	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra	Name of a Draviḍa king; Name of a king; Name of a son of Dhṛtarāṣṭra	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Name of a Gandharva	Ricinus communis	Name of a Gandharva; Name of a Jābāla-gṛhapati; Plumbago zeylanica; a bright; a forestof variegated appearance  on; a form of Yama; a sectarial mark on the forehead; agitated; anything bright; bright; bright-coloured; clear; coloured which strikes the eyes; delineation; excellent; extraordinary appearance; having different varieties; manifold; other fanciful figures; sky; spotted; variegated; variety of colour; wonderful	Plumbago zeylanica; Ricinus communis	Plumbago zeylanica; a form of Yama; different; having different varieties
