head	lemma	derivation	category	new_meaning	anagha_annotated
H1	eka	e/ka	praatipadika	alone, solitary, single, happening only once, that one only	(alone, solitary, single), (happening only once), (that one only)
H1	eka	e/ka	praatipadika	the same, one, the same, identical	(the same, one and the same, identical)
H1	eka	e/ka	praatipadika	one of two, many	(one of two), (many)
H1	eka	e/ka	praatipadika	one, one by one	(one), (one by one)
H1	eka	e/ka	praatipadika	single of its kind, unique, singular, chief, pre-eminent, excellent	(single of its kind, unique), (singular), (chief, pre-eminent, excellent)
H1	eka	e/ka	praatipadika	sincere, truthful	(sincere), (truthful)
H1	eka	e/ka	praatipadika	little, small	(little, small)
H1	eka	e/ka	praatipadika	a, an	(a, an)
H1	eka	e/ka	praatipadika	Name of a teacher	(Name of a teacher)
H1	eka	e/ka	praatipadika	Name of a son of Raya	(Name of a son of Raya)
H1	eka	e/ka	praatipadika	unity, a unit	(unity), (a unit)
H1	eva	eva/	avyaya	so, just so, exactly so	(so), (just so), (exactly so)
H1	eva	eva/	avyaya	indeed, truly, really	(indeed, truly, really)
H1	eva	eva/	avyaya	just, exactly, very, same, only, even, alone, merely, immediately on, still, already	(just), (very), (exactly, same), (only, alone), (even), (merely), (immediately on), (still), (already)
H1	eva	eva/	avyaya	affirmation, detraction, diminution, command, restrainment	(affirmation), (detraction), (diminution), (command), (restrainment)
H1	eva	e/va	praatipadika	going, moving, speedy, quick	(going, moving), (speedy, quick)
H1	eva	e/va	praatipadika	course, way	(course, way)
H1	eva	e/va	praatipadika	the earth, world	(the earth, world)
H1	eva	e/va	praatipadika	a horse	(a horse)
H1	eva	e/va	praatipadika	way, manner of acting, proceeding, conduct, habit, usage, custom	(way, manner of acting, conduct), (proceeding), (habit, custom), (usage)
H1	karman	ka/rman	praatipadika	act, action, performance, business	(act, action), (performance), (business)
H1	karman	ka/rman	praatipadika	office, special duty, occupation, obligation	(office), (special duty), (occupation), (obligation)
H1	karman	ka/rman	praatipadika	any religious act, rite	(any religious act, rite)
H1	karman	ka/rman	praatipadika	work, labour, activity	(work, labour), (activity)
H1	karman	ka/rman	praatipadika	physicking, medical attendance	(physicking, medical attendance)
H1	karman	ka/rman	praatipadika	action consisting in motion	(action consisting in motion)
H1	karman	ka/rman	praatipadika	calculation	(calculation)
H1	karman	ka/rman	praatipadika	product, result, effect	(product), (result, effect)
H1	karman	ka/rman	praatipadika	organ of sense	(organ of sense)
H1	karman	ka/rman	praatipadika	the object	(the object)
H1	karman	ka/rman	praatipadika	former act as leading to inevitable results, fate	(former act as leading to inevitable results, fate)
H1	karman	ka/rman	praatipadika	the tenth lunar mansion	(the tenth lunar mansion)
H1	kavi	kavi/	praatipadika	gifted with insight, intelligent, knowing, enlightened, wise, sensible, prudent, skilful, cunning	(gifted with insight, intelligent, knowing, enlightened, wise), (sensible, prudent), (skilful), (cunning)
H1	kavi	kavi/	praatipadika	a thinker, intelligent man, man of understanding, leader	(a thinker, intelligent man, man of understanding), (leader)
H1	kavi	kav	praatipadika	a wise man, sage, seer, prophet	(a wise man), (sage, seer, prophet)
H1	kavi	kav	praatipadika	a singer, bard, poet	(a singer), (bard, poet)
H1	kavi	kav	praatipadika	Name of several gods, Name of Agni	(Name of several gods), (Name of Agni)
H1	kavi	kav	praatipadika	Name of Varuṇa, Indra, the Aśvins, Maruts, Ādityas	(Name of Varuṇa), (Name of Indra), (Name of the Aśvins), (Name of Maruts), (Name of Ādityas)
H1	kavi	kavi/	praatipadika	Name of the Soma	(Name of the Soma)
H1	kavi	kavi/	praatipadika	Name of the Soma priest, Name of other sacrificers	(Name of the Soma priest), (Name of other sacrificers)
H1	kavi	kavi/	praatipadika	Name of a particular poet	(Name of a particular poet)
H1	kavi	kavi/	praatipadika	Name of the ancient sages, Name of ancient patriarchs	(Name of the ancient sages), (Name of the ancient patriarchs)
H1	kavi	kavi/	praatipadika	Name of the Ṛbhus	(Name of the Ṛbhus)
H1	kavi	kavi/	praatipadika	Name of Pūṣan	(Name of Pūṣan)
H1	kavi	kavi/	praatipadika	Name of a son of Brahmā	(Name of a son of Brahmā)
H1	kavi	kavi/	praatipadika	Name of Brahmā	(Name of Brahmā)
H1	kavi	kavi/	praatipadika	Name of a son of Bhṛgu, father of Śukra	(Name of a son of Bhṛgu and father of Śukra)
H1	kavi	kavi/	praatipadika	Name of Śukra	(Name of Śukra)
H1	kavi	kavi/	praatipadika	Name of the planet Venus	(Name of the planet Venus)
H1	kavi	kavi/	praatipadika	Name of the sons of several Manus	(Name of the sons of several Manus)
H1	kavi	kavi/	praatipadika	Name of a son of Kauśika, pupil of Garga	(Name of a son of Kauśika and pupil of Garga)
H1	kavi	kavi/	praatipadika	Name of a son of Ṛṣabha	(Name of a son of Ṛṣabha)
H1	kavi	kavi/	praatipadika	Name of Vālmīki	(Name of Vālmīki)
H1	kavi	kavi/	praatipadika	a keeper, herd	(a keeper), (herd)
H1	kavi	kavi/	praatipadika	Name of the gates of the sacrificial enclosure	(Name of the gates of the sacrificial enclosure)
H1	kavi	kavi/	praatipadika	the sun	(the sun)
H1	kavi	kavi/	praatipadika	Name of various men	(Name of various men)
H1	kavi	kavi/	praatipadika	the soul in the Sāṃkhya philosophy	(the soul in the Sāṃkhya philosophy)
H1	kavi	kavi/	praatipadika	a cunning fighter	(a cunning fighter)
H1	kavi	kavi/	praatipadika	an owl	(an owl)
H1	kavi	kavi/	praatipadika	the bit of a bridle	(the bit of a bridle)
H1	kavi	kavi/	praatipadika	the reins	(the reins)
H1	kavi	kavi/	praatipadika	a ladle	(a ladle)
H1	kAla	kAla	praatipadika	black, of a dark colour, dark-blue	(black), (of a dark colour), (dark-blue)
H1	kAla	kAla	praatipadika	a black, dark-blue colour	(a black), (dark-blue colour)
H1	kAla	kAla	praatipadika	the black part of the eye	(the black part of the eye)
H1	kAla	kAla	praatipadika	the Indian cuckoo	(the Indian cuckoo)
H1	kAla	kAla	praatipadika	the poisonous serpent Coluber Naga	(the poisonous serpent Coluber Naga)
H1	kAla	kAla	praatipadika	the plant Cassia Sophora	(the plant Cassia Sophora)
H1	kAla	kAla	praatipadika	a red kind of Plumbago	(a red kind of Plumbago)
H1	kAla	kAla	praatipadika	the resin of the plant Shorea robusta	(the resin of the plant Shorea robusta)
H1	kAla	kAla	praatipadika	the planet Saturn	(the planet Saturn)
H1	kAla	kAla	praatipadika	Name of Śiva	(Name of Śiva)
H1	kAla	kAla	praatipadika	Name of Rudra	(Name of Rudra)
H1	kAla	kAla	praatipadika	Name of a son of Hrada	(Name of a son of Hrada)
H1	kAla	kAla	praatipadika	Name of the prince Kāla-yavana	(Name of the prince Kāla-yavana)
H1	kAla	kAla	praatipadika	Name of a brother of king Prasena-jit	(Name of a brother of king Prasena-jit)
H1	kAla	kAla	praatipadika	Name of a future Buddha	(Name of a future Buddha)
H1	kAla	kAla	praatipadika	Name of an author of Mantras	(Name of an author of Mantras)
H1	kAla	kAla	praatipadika	Name of a Nāga-rāja	(Name of a Nāga-rāja)
H1	kAla	kAla	praatipadika	Name of a Rakṣas	(Name of a Rakṣas)
H1	kAla	kAla	praatipadika	Name of an enemy of Śiva	(Name of an enemy of Śiva)
H1	kAla	kAla	praatipadika	Name of a mountain	(Name of a mountain)
H1	kAla	kAla	praatipadika	Name of one of the nine treasures	(Name of one of the nine treasures)
H1	kAla	kAla	praatipadika	a mystical Name of the letter	(a mystical Name of the letter)
H1	kAla	kAla	praatipadika	a black kind of Agallochum	(a black kind of Agallochum)
H1	kAla	kAla	praatipadika	a kind of perfume	(a kind of perfume)
H1	kAla	kAla	praatipadika	iron	(iron)
H1	kAla	kAla/	praatipadika	a fixed or right point of time, a space of time, time	(a fixed or right point of time, a space of time, time)
H1	kAla	kAla/	praatipadika	the proper time, season for	(the proper time, season for)
H1	kAla	kAla/	praatipadika	occasion, circumstance	(occasion), (circumstance)
H1	kAla	kAla/	praatipadika	season	(season)
H1	kAla	kAla/	praatipadika	meal-time	(meal-time)
H1	kAla	kAla/	praatipadika	hour	(hour)
H1	kAla	kAla/	praatipadika	a period of time, time of the world	(a period of time), (time of the world)
H1	kAla	kAla/	praatipadika	measure of time, prosody	(measure of time), (prosody)
H1	kAla	kAla/	praatipadika	a section, part	(a section, part)
H1	kAla	kAla/	praatipadika	the end	(the end)
H1	kAla	kAla/	praatipadika	death by age	(death by age)
H1	kAla	kAla/	praatipadika	time, destiny, fate	(time, destiny, fate)
H1	kAla	kAla/	praatipadika	time, death, time of death	(time, death, time of death)
H1	kf	kf	dhaatu	a fog	(a fog)
H1	kf	kf	dhaatu	being done	(being done)
H1	kf	kf	dhaatu	to injure	(to injure)
H1	gam	gam	dhaatu	to go, move, go away, set out, come, to go to, towards, approach, to go, pass, to fall to the share of, to go against with hostile intentions, attack, to decease, die, to approach carnally, have sexual intercourse with, to go to any state, condition, undergo, partake of, participate in, receive, obtain, to go to the earth with the knees, kneel down, to go to the earth with the head, make a bow, to go with the mind, observe, perceive, to observe, understand, guess, to approach with an accusation, ascribe guilt to a person, bring to a place, to cause to go to any condition, cause to become, to impart, grant, to send away,to let go, not care about, to excel, to spend time, to cause to understand, make clear, intelligible, explain, to convey an idea, meaning, denote, to cause a person to go by means of another, to wish to go, be going, to strive to obtain, to wish to bring.	"(to go, move, go away, to go to, to go), (set out), (come), (towards), (approach), (pass), (to fall to the share of), (to go against with hostile intentions), (attack), (to decease, die), (to approach carnally), (have sexual intercourse with), (to go to any state, condition), (undergo), (partake of, participate in), (receive, obtain), (to go to the earth with the knees, kneel down), (to go to the earth with the head, make a bow), (to go with the mind, observe, perceive, to observe, understand), (guess), (to approach with an accusation, ascribe guilt to a person), (bring to a place), (to cause to go to any condition, cause to become), (to impart), (grant), (to send away, to let go), (not care about), (to excel), (to spend time), (to cause to understand, make clear, intelligible, explain), (to convey an idea, meaning, denote), (to cause a person to go by means of another), (to wish to go), (be going), (to strive to obtain), (to wish to bring).
"
H1	grah	grah	dhaatu	grasp, lay hold of, to eclipse, to abstract, take away, to lay the hand on, claim, to gain, win, obtain, receive, accept, keep, to acquire by purchase, to choose, to choose any one as a wife, to take up, draw water, to pluck, pick, gather, to collect a store of anything, to use, put on, to assume, to place upon, to include, to take on one's self, undertake, undergo, begin, to receive hospitably, take back,to take into the mouth, mention, name, to perceive, observe, recognise, to observe, to receive into the mind, apprehend, understand, learn, to calculate, to accept, admit, approve, to obey, follow, to take for, consider as, to be meant by, to cause to take, seize, lay hold of, to cause to take, to cause to marry, give away a girl in marriage to any one, to cause any one to be captured, to cause any one to be seized, overpowered over to any one, to make any one choose, to make any one learn, make acquainted, familiar with, to be about to seize, take, to be about to eclipse, to be about to take away, to desire to perceive, strive to apprehend, recognise	"(grasp, lay hold of), (to eclipse), (to abstract, take away), (to lay the hand on, claim), (to gain, win, obtain, receive, accept, keep), (to acquire by purchase), (to choose), (to choose any one as a wife), (to take up), (draw water), (to pluck, pick), (gather, to collect a store of anything), (to use, put on), (to assume), (to place upon), (to include), (to take on one's self, undertake, begin), (undergo), (to receive hospitably), (take back), (to take into the mouth, mention, name), (to perceive, observe, recognise, to observe), (to receive into the mind, apprehend, understand, learn), (to calculate), (to accept, admit, approve), (to obey, follow), (to take for, consider as), (to be meant by), (to cause to take, seize, lay hold of), (to cause to take), (to cause to marry, give away a girl in marriage to any one), (to cause any one to be captured, to cause any one to be seized, overpowered over to any one), (to make any one choose), (to make any one learn, make acquainted, familiar with), (to be about to seize, take, to be about to take away), (to be about to eclipse), (to desire to perceive, strive to apprehend, recognise)
"
H1	citra	citra/	praatipadika	conspicuous, excellent, distinguished	(conspicuous, excellent, distinguished)
H1	citra	citra/	praatipadika	bright, clear, bright-coloured	(bright, bright-coloured), (clear)
H1	citra	citra/	praatipadika	clear	(clear)
H1	citra	citra/	praatipadika	variegated, spotted, speckled	(variegated), (spotted, speckled)
H1	citra	citra/	praatipadika	agitated	(agitated)
H1	citra	citra/	praatipadika	various, different, manifold	(various, different, manifold)
H1	citra	citra/	praatipadika	having different varieties	(having different varieties)
H1	citra	citra/	praatipadika	strange, wonderful	(strange), (wonderful)
H1	citra	citra/	praatipadika	containing the word	(containing the word)
H1	citra	citra	praatipadika	leaping to and fro	(leaping to and fro)
H1	citra	citra/	praatipadika	variety of colour	(variety of colour)
H1	citra	citra/	praatipadika	Plumbago zeylanica	(Plumbago zeylanica)
H1	citra	citra/	praatipadika	Ricinus communis	(Ricinus communis)
H1	citra	citra/	praatipadika	Jonesia Aśoka	(Jonesia Aśoka)
H1	citra	citra/	praatipadika	a form of Yama	(a form of Yama)
H1	citra	citra/	praatipadika	Name of a king	(Name of a king)
H1	citra	citra/	praatipadika	Name of a Jābāla-gṛhapati	(Name of a Jābāla-gṛhapati)
H1	citra	citra/	praatipadika	Name of a king	(Name of a king)
H1	citra	citra/	praatipadika	Name of a son of Dhṛtarāṣṭra	(Name of a son of Dhṛtarāṣṭra)
H1	citra	citra/	praatipadika	Name of a Draviḍa king	(Name of a Draviḍa king)
H1	citra	citra/	praatipadika	Name of a Gandharva	(Name of a Gandharva)
H1	citra	citra/	praatipadika	anything bright or coloured which strikes the eyes	(anything bright or coloured which strikes the eyes)
H1	citra	citra/	praatipadika	a brilliant ornament, ornament	(a brilliant ornament, ornament)
H1	citra	citra/	praatipadika	a bright and extraordinary appearance, wonder	(a bright and extraordinary appearance), (wonder)
H1	citra	citra/	praatipadika	strange, curious	(strange), (curious)
H1	citra	citra/	praatipadika	strange!	(strange!)
H1	citra	citra/	praatipadika	the ether, sky	(the ether, sky)
H1	citra	citra/	praatipadika	a spot	(a spot)
H1	citra	citra/	praatipadika	a sectarial mark on the forehead	(a sectarial mark on the forehead)
H1	citra	citra/	praatipadika	a picture, sketch, delineation	(a picture, sketch, delineation)
H1	citra	citra/	praatipadika	variety of colour	(variety of colour)
H1	citra	citra/	praatipadika	a forest of variegated appearance	(a forest of variegated appearance)
H1	citra	citra/	praatipadika	various modes of writing, arranging verses in the shape of mathematical or other fanciful figures	various modes of writing, arranging verses in the shape of mathematical, other fanciful figures
H1	citra	citra/	praatipadika	punning in the form of question and answer, facetious conversation, riddle	(punning in the form of question and answer, facetious conversation, riddle)
H1	tatas	ta/tas	praatipadika	from that place, thence	(from that place, thence)
H1	tatas	ta/tas	praatipadika	in that place, there	(in that place, there)
H1	tatas	ta/tas	praatipadika	thither	(thither)
H1	tatas	ta/tas	praatipadika	thereupon, then, after that, afterwards	(thereupon, then, after that, afterwards)
H1	tatas	ta/tas	praatipadika	from that, in consequence of that, for that reason, consequently	(from that, in consequence of that, for that reason, consequently)
H1	tatas	ta/tas	praatipadika	but, how is it then that?	(but, how is it then that?)
H1	tatas	ta/tas	praatipadika	immediately afterwards	(immediately afterwards)
H1	tatas	ta/tas	praatipadika	beyond that	(beyond that)
H1	tatas	ta/tas	praatipadika	besides that, further	(besides that, further)
H1	tatas	ta/tas	praatipadika	thereupon, afterwards	(thereupon, afterwards)
H1	tatas	ta/tas	praatipadika	thereupon, afterwards	(thereupon, afterwards)
H1	tatas	ta/tas	praatipadika	thenceforth	(thenceforth)
H1	tatas	ta/tas	praatipadika	what then? what took place after that?	(what then? what took place after that?)
H1	tatas	ta/tas	praatipadika	from that and that place, here and there, hither and thither, from all sides, to everyplace, everywhere	(from that and that place), (here and there), (hither and thither), (from all sides), (to everyplace), (everywhere)
H1	tatas	ta/tas	praatipadika	to that place	(to that place)
H1	tatas	ta/tas	praatipadika	to another place than that, to some other place	(to another place than that, to some other place)
H1	tatas	ta/tas	praatipadika	afterwards, at another time	(afterwards, at another time)
H1	tad	ta/d	praatipadika	he she it, that, this	(he, she, it, that, this)
H1	tad	ta/d	praatipadika	this world	(this world)
H1	tad	ta/d	praatipadika	Brahma	(Brahma)
H1	tad	ta/d	praatipadika	there, in that place, thither, to that spot	(there, in that place, thither), (to that spot)
H1	tad	ta/d	praatipadika	then, at that time, in that case	(then, at that time), (in that case)
H1	tad	ta/d	praatipadika	thus, in this manner, with regard to that	(thus, in this manner, with regard to that)
H1	tad	ta/d	praatipadika	with reference to that there are these two verses	(with reference to that there are these two verses)
H1	tad	ta/d	praatipadika	on that account, for that reason, therefore, consequently	(on that account, for that reason, therefore, consequently)
H1	tad	ta/d	praatipadika	now	(now)
H1	tad	ta/d	praatipadika	so also, equally	(so also), (equally)
H1	tad	tad	praatipadika	this, that, various, different	(this, that), (various, different)
H1	tad	tad	praatipadika	respective	(respective)
H1	tad	tad	praatipadika	on quite the same path	(on quite the same path)
H1	tad	tad	praatipadika	whosoever, whichsoever, any, every	(whosoever, whichsoever), (any), (every)
H1	tad	tad	praatipadika	even then, nevertheless, notwithstanding	(even then, nevertheless), (notwithstanding)
H1	tad	tad	praatipadika	in such a manner as follows, namely, namely, in other words.	(in such a manner as follows), (namely, namely), (in other words).
H1	tu	tu	dhaatu	to have authority, be strong, to go, to injure, to make strong or efficient	(to have authority, be strong), (to go), (to injure), (to make strong or efficient)
H1	tu	tu/	avyaya	pray! I beg, do, now, then	(pray! I beg), (do), (now), (then)
H1	tu	tu/	avyaya	but	(but)
H1	tu	tu/	avyaya	sometimes used as a mere expletive	(sometimes used as a mere expletive)
H1	tu	tu/	avyaya	though — still not	(though — still not)
H1	tu	tu/	avyaya	not — but	(not — but)
H1	tu	tu/	avyaya	though — still	(though — still)
H1	tu	tu/	avyaya	it is true — but not	(it is true — but not)
H1	tu	tu/	avyaya	it is true — but not	(it is true — but not)
H1	tu	tu/	avyaya	still, nevertheless	(still, nevertheless)
H1	tu	tu/	avyaya	not — however	(not — however)
H1	tu	tu/	avyaya	certainly — but	(certainly — but)
H1	dfS	dfS	praatipadika	to see, behold, look at, regard, consider, to wait on, visit, to see with the mind, learn, understand, to notice, care for, look into, try, examine, to see by divine intuition, think, find out, compose, to be seen, become visible, appear, to be shown, manifested, appear, to cause to see, be seen, to show a thing or person to, to show or prove, demonstrate, to produce or pay, to wish to see, long for, to wish to show, to be always visible	"(to see, behold, look at), (regard, consider), (to wait on), (visit), (to see with the mind, learn, understand), (to notice, look into, examine), (care for), (try), (to see by divine intuition), (think), (find out), (compose), (to be seen, become visible, appear), (to be shown, manifested, appear), (to cause to see, be seen), (to show a thing or person to), (to show or prove, demonstrate), (to produce or pay), (to wish to see, long for), (to wish to show), (to be always visible)
"
H1	dfS	df/S	praatipadika	seeing, viewing, looking at	(seeing, viewing, looking at)
H1	dfS	df/S	praatipadika	knowing, discerning	(knowing, discerning)
H1	dfS	df/S	praatipadika	sight, view	(sight, view)
H1	dfS	df/S	praatipadika	look, appearance	(look, appearance)
H1	dfS	df/S	praatipadika	the eye	(the eye)
H1	dfS	df/S	praatipadika	theory, doctrine	(theory, doctrine)
H1	dfS	df/S	praatipadika	the aspect of a planet, the observed spot	(the aspect of a planet), (the observed spot)
H1	Darma	Da/rma	praatipadika	that which is established, firm, steadfast decree, statute, ordinance, law	(that which is established), (firm), (steadfast decree), (statute), (ordinance, law)
H1	Darma	Da/rma	praatipadika	usage, practice, customary observance, prescribed conduct, duty	(usage), (practice, customary observance, prescribed conduct), (duty)
H1	Darma	Da/rma	praatipadika	right, justice	(right, justice)
H1	Darma	Da/rma	praatipadika	virtue, morality, religion, religious merit, good works	(virtue, morality), (religion, religious merit), (good works)
H1	Darma	Da/rma	praatipadika	Law or Justice personified	(Law or Justice personified)
H1	Darma	Da/rma	praatipadika	the law or doctrine of Buddhism	(the law or doctrine of Buddhism)
H1	Darma	Da/rma	praatipadika	the ethical precepts of Buddhism	(the ethical precepts of Buddhism)
H1	Darma	Da/rma	praatipadika	the law of Northern Buddhism	(the law of Northern Buddhism)
H1	Darma	Da/rma	praatipadika	nature, character, peculiar condition, essential quality, property, mark, peculiarity	(nature, character), (peculiar condition, peculiarity), (essential quality), (property), (mark)
H1	Darma	Da/rma	praatipadika	a particular ceremony	(a particular ceremony)
H1	Darma	Da/rma	praatipadika	sacrifice	(sacrifice)
H1	Darma	Da/rma	praatipadika	the ninth mansion	(the ninth mansion)
H1	Darma	Da/rma	praatipadika	an Upaniṣad	(an Upaniṣad)
H1	Darma	Da/rma	praatipadika	associating with the virtuous	(associating with the virtuous)
H1	Darma	Da/rma	praatipadika	religious abstraction, devotion	(religious abstraction, devotion)
H1	Darma	Da/rma	praatipadika	a bow	(a bow)
H1	Darma	Darma	praatipadika	a thing	(a thing)
H1	Darma	Da/rma	praatipadika	a Soma-drinker	(a Soma-drinker)
H1	Darma	Da/rma	praatipadika	Name of the 15th Arhat of the present Ava-sarpiṇī	(Name of the 15th Arhat of the present Ava-sarpiṇī)
H1	Darma	Da/rma	praatipadika	Name of a son of Anu, father of Ghṛta	(Name of a son of Anu, father of Ghṛta)
H1	Darma	Da/rma	praatipadika	Name of a son of Gāndhāra, father of Dhṛta	(Name of a son of Gāndhāra, father of Dhṛta)
H1	Darma	Da/rma	praatipadika	Name of a son of Haihaya, father of Netra	(Name of a son of Haihaya, father of Netra)
H1	Darma	Da/rma	praatipadika	Name of a son of Pṛthu-śravas of Uśanas	(Name of a son of Pṛthu-śravas of Uśanas)
H1	Darma	Da/rma	praatipadika	Name of a son of Su-vrata	(Name of a son of Su-vrata)
H1	Darma	Da/rma	praatipadika	Name of a son of Dīrgha-tapas	(Name of a son of Dīrgha-tapas)
H1	Darma	Da/rma	praatipadika	Name of a king of Kaśmīra	(Name of a king of Kaśmīra)
H1	Darma	Da/rma	praatipadika	Name of another man	(Name of another man)
H1	Darma	Da/rma	praatipadika	Name of a lexicographer	(Name of a lexicographer)
H1	Darma	Darma	naama-dhaatu	to become, law	(to become), (law)
H1	prakfti	pra-kfti	cpd-praatipadika	making or placing before or at first, the original or natural form or condition of anything, original or primary substance	(making or placing before or at first), (the original or natural form or condition of anything), (original or primary substance)
H1	prakfti	pra-kfti	cpd-praatipadika	cause, original source	(cause, original source)
H1	prakfti	pra-kfti	cpd-praatipadika	origin, extraction	(origin), (extraction)
H1	prakfti	pra-kfti	cpd-praatipadika	nature, character, constitution, temper, disposition, by nature, naturally, unalterably, properly	(nature, character), (constitution), (temper), (disposition), (by nature, naturally), (unalterably, properly)
H1	prakfti	pra-kfti	cpd-praatipadika	fundamental form, pattern, standard, model, rule	(fundamental form), (pattern), (standard), (model), (rule)
H1	prakfti	pra-kfti	cpd-praatipadika	the original producer of the material world, Nature	(the original producer of the material world, Nature)
H1	prakfti	pra-kfti	cpd-praatipadika	the 8 producers, primary essences which evolve the whole visible world	(the 8 producers, primary essences which evolve the whole visible world)
H1	prakfti	pra-kfti	cpd-praatipadika	a goddess, the personified will of the Supreme in the creation	(a goddess, the personified will of the Supreme in the creation)
H1	prakfti	pra-kfti	cpd-praatipadika	Name of a class of deities under Manu Raibhya	(Name of a class of deities under Manu Raibhya)
